"avg","income_type","area_name"
21.073858885017433,"Hourly wage                                                                                                                  ","Adams"
21.490520471894495,"Hourly wage                                                                                                                  ","Denver"
21.550816451810928,"Hourly wage                                                                                                                  ","Adams County"
21.69201407211964,"Hourly wage                                                                                                                  ","Boulder"
21.79469931271477,"Hourly wage                                                                                                                  ","Tri-County"
21.93554711246201,"Hourly wage                                                                                                                  ","Arapahoe-Douglas"
22.201653846153825,"Hourly wage                                                                                                                  ","Denver County"
22.284351464435122,"Hourly wage                                                                                                                  ","Jefferson County"
22.422683982684003,"Hourly wage                                                                                                                  ","Boulder County"
22.703024417314108,"Hourly wage                                                                                                                  ","Arapahoe County"
23.23761136712748,"Hourly wage                                                                                                                  ","Douglas County"
24.306424050632913,"Hourly wage                                                                                                                  ","Broomfield"
24.453027397260282,"Hourly wage                                                                                                                  ","Broomfield County"
25.29474747474748,"Hourly wage                                                                                                                  ","Undefined County"
29131.102643678158,"Annual wage or salary                                                                                                        ","Baca County"
30480.938636363633,"Annual wage or salary                                                                                                        ","Mineral County"
30729.029488291413,"Annual wage or salary                                                                                                        ","Central  Colorado"
30804.238727272725,"Annual wage or salary                                                                                                        ","Custer County"
30898.954576271182,"Annual wage or salary                                                                                                        ","Costilla County"
31173.39536231884,"Annual wage or salary                                                                                                        ","Bent County"
31202.27586538461,"Annual wage or salary                                                                                                        ","Saguache County"
31411.142222222225,"Annual wage or salary                                                                                                        ","Hinsdale County"
31623.629693877552,"Annual wage or salary                                                                                                        ","Huerfano County"
31681.446444444442,"Annual wage or salary                                                                                                        ","Conejos County"
31723.458965517242,"Annual wage or salary                                                                                                        ","Dolores County"
31794.76176744186,"Annual wage or salary                                                                                                        ","Rio Grande County"
31968.860858895707,"Annual wage or salary                                                                                                        ","Kit Carson County"
32355.65245901639,"Annual wage or salary                                                                                                        ","Prowers County"
32464.859602327837,"Annual wage or salary                                                                                                        ","Eastern and Southern Colorado"
32468.88,"Annual wage or salary                                                                                                        ","Washington County"
32531.665523809523,"Annual wage or salary                                                                                                        ","Yuma County"
32707.96166666667,"Annual wage or salary                                                                                                        ","Kiowa County"
32774.2975,"Annual wage or salary                                                                                                        ","Crowley County"
33138.69091836735,"Annual wage or salary                                                                                                        ","Phillips County"
33183.99866666667,"Annual wage or salary                                                                                                        ","San Juan County"
33258.013741496594,"Annual wage or salary                                                                                                        ","Lincoln County"
33344.12394658754,"Annual wage or salary                                                                                                        ","Otero County"
33454.422711864405,"Annual wage or salary                                                                                                        ","Cheyenne County"
33851.04052631579,"Annual wage or salary                                                                                                        ","Jackson County"
33914.97020454546,"Annual wage or salary                                                                                                        ","Southcentral"
34012.83293768546,"Annual wage or salary                                                                                                        ","Teller County"
34160.059848484845,"Annual wage or salary                                                                                                        ","Archuleta County"
34442.39250591017,"Annual wage or salary                                                                                                        ","Montezuma County"
34666.77264256429,"Annual wage or salary                                                                                                        ","Western Colorado"
34871.2388,"Annual wage or salary                                                                                                        ","Sedgwick County"
35033.56483495143,"Annual wage or salary                                                                                                        ","Southeast"
35047.37636363636,"Annual wage or salary                                                                                                        ","Ouray County"
35075.01511278195,"Annual wage or salary                                                                                                        ","Alamosa County"
35175.147836990596,"Annual wage or salary                                                                                                        ","Grand County"
35183.638205128205,"Annual wage or salary                                                                                                        ","Logan County"
35238.54459861249,"Annual wage or salary                                                                                                        ","Grand Junction MSA"
35321.10739130435,"Annual wage or salary                                                                                                        ","Las Animas County"
35458.915617977524,"Annual wage or salary                                                                                                        ","Morgan County"
35518.95389041096,"Annual wage or salary                                                                                                        ","Delta County"
35621.65022900764,"Annual wage or salary                                                                                                        ","Park County"
35626.04825596643,"Annual wage or salary                                                                                                        ","Pueblo MSA"
35826.511477449436,"Annual wage or salary                                                                                                        ","Eastern"
36026.29791666667,"Annual wage or salary                                                                                                        ","San Miguel County"
36154.02230985915,"Annual wage or salary                                                                                                        ","Chaffee County"
36258.61360110803,"Annual wage or salary                                                                                                        ","Gunnison County"
36558.34428794992,"Annual wage or salary                                                                                                        ","North Central  Colorado"
36640.444363636365,"Annual wage or salary                                                                                                        ","Gilpin County"
36894.58202363367,"Annual wage or salary                                                                                                        ","Western"
37181.78618198239,"Annual wage or salary                                                                                                        ","Greeley MSA"
37545.37009526885,"Annual wage or salary                                                                                                        ","Colorado Springs MSA"
37624.325722175025,"Annual wage or salary                                                                                                        ","Colorado"
37676.623263757116,"Annual wage or salary                                                                                                        ","Upper Arkansas"
37911.18755834828,"Annual wage or salary                                                                                                        ","Montrose County"
37921.94738095239,"Annual wage or salary                                                                                                        ","Lake County"
38073.64189580319,"Annual wage or salary                                                                                                        ","Southwest"
38131.58750534874,"Annual wage or salary                                                                                                        ","Southwest Colorado"
38170.5346122449,"Annual wage or salary                                                                                                        ","Moffat County"
38210.10024705882,"Annual wage or salary                                                                                                        ","Mesa"
